Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Item Description,Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,HAND AND MEASURING TOOLS,EDA Delivered,6/16/16,0,0,0,0,0,"$6,850.00","$3,425.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,PREFABRICATED STRUCTURES AND SCAFFOLDING,Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,850.00","$3,425.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,MATERIALS HANDLING EQUIPMENT,Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,850.00","$3,425.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,FURNITURE,Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,HOUSEHOLD/COMMERCIAL FURNISHINGS/APPLIANCES,EDA Delivered,6/16/16,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,FOOD PREPARATION AND SERVING EQUIPMENT,Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,OFFICE SUPPLIES AND DEVICES,Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,"CONTAINERS, PACKAGING, AND PACKING SUPPLIES",Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,"TEXTILES, LEATHER, APPAREL AND TENTS",Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,CLOTHING AND INDIVIDUAL EQUIPMENT,EDA Delivered,6/16/16,0,0,0,0,0,"$6,800.00","$3,400.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Sierra Leone,MISCELLANEOUS SUPPLIES,Service Authorized to Supply EDA,2/26/15,0,0,0,0,0,"$6,800.00","$3,400.00"
FMS Sales,2015,Army,Spain,MRAP RECOVERY VEHICLE (MRV) MAXXPRO,Service Authorized to Supply EDA,5/11/15,24,24,0,0,0,"$21,136,176.00","$4,227,235.20"
FMS Sales,2015,Navy,Spain,"AIRCRAFT SPARE & REPAIR PARTS F/A-18, P-3",EDA Delivered,3/31/16,0,0,0,0,0,"$1,000,000.00","$500,000.00"
FMS Sales,2015,Navy,Taiwan,"USS TAYLOR, FFG50, OLIVER HAZARD PERRY CLASS",EDA Delivered,3/10/17,1,1,1,0,1,"$256,227,000.00","$12,811,350.00"
FMS Sales,2015,Navy,Thailand,"AVIATION SPARE AND REPAIR PART, MH-60S, S-70B, ETC",Service Authorized to Supply EDA,8/26/15,0,0,0,0,0,"$364,198.00","$182,099.00"
Grant Authority,2015,Air Force,Thailand,AVIONICS INTERMEDIATE SHOP ADVANCED COMPUTER,EDA Cancelled,11/16/17,1,1,1,0,0,"$8,157,942.00","$3,263,176.80"
Grant Authority,2015,Navy,Trinidad/Tobago,USCG ISLAND CLASS PATROL BOAT (WPB),EDA Cancelled,11/20/14,2,2,0,0,0,"$14,000,000.00","$1,400,000.00"
Grant Authority,2015,Navy,Trinidad/Tobago,WPB OUTFIT AND EQUIPMENT,EDA Cancelled,11/20/14,2,2,0,0,0,"$426,200.00","$42,620.00"
Grant Authority,2015,Navy,Tunisia,USCG ISLAND CLASS PATROL BOAT (WPB),EDA Cancelled,4/8/15,2,2,0,0,0,"$14,000,000.00","$1,400,000.00"
Grant Authority,2015,Navy,Tunisia,WPB OUTFIT AND EQUIPMENT,EDA Cancelled,4/8/15,2,2,0,0,0,"$426,200.00","$42,620.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Ukraine,CLOTHING AND INDIVIDUAL EQUIPMENT,EDA Accepted/LOA Implemented,2/18/15,N/A,N/A,N/A,N/A,N/A,"$765,623.50","$382,811.75"
Grant Authority,2015,Defense Logistics Agency (DLA),Ukraine,"TRUCK, UTILITY 1 1/4 TON, M998",EDA Cancelled,12/31/15,10,10,0,0,0,"$410,610.00","$123,183.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Ukraine,"TRUCK, UTILITY 1 1/4 TON, M998",EDA Cancelled,12/31/15,75,75,0,0,0,"$3,079,575.00","$615,915.00"
Grant Authority,2015,Defense Logistics Agency (DLA),Ukraine,"TRUCK, UTILITY 1 1/4 TON, M998A1",EDA Cancelled,12/31/15,11,11,0,0,0,"$491,942.00","$147,582.60"
Grant Authority,2015,Defense Logistics Agency (DLA),Ukraine,"TRUCK, UTILITY 1 1/4 TON, M1097A2",EDA Cancelled,12/31/15,2,2,0,0,0,"$86,752.00","$17,350.40"
Grant Authority,2015,Defense Logistics Agency (DLA),Ukraine,"TRUCK, UTILITY 1 1/4 TON, M1123",EDA Cancelled,12/31/15,2,2,0,0,0,"$86,752.00","$17,350.40"
Grant Authority,2015,Navy,Vietnam,USCG ISLAND CLASS PATROL BOAT (WPB),EDA Rejected,10/6/14,2,2,0,0,0,"$14,000,000.00","$1,400,000.00"
Grant Authority,2015,Navy,Vietnam,WPB OUTFIT AND EQUIPMENT,EDA Rejected,10/6/14,2,2,0,0,0,"$426,200.00","$42,620.00"
Grant Authority,2014,Army,Afghanistan,SIGNAL DATA ACQUISITION SYSTEM (WOLFHOUND),EDA Delivered,1/28/15,40,40,40,0,40,"$3,200,000.00","$320,000.00"
Grant Authority,2014,Army,Afghanistan,MACHINE GUN,EDA Rejected,4/3/14,324,324,0,324,0,"$4,109,940.00","$410,994.00"
Grant Authority,2014,Army,Afghanistan,MK19 40MM GRENADE LAUNCHERS,EDA Rejected,4/3/14,108,108,0,108,0,"$1,654,560.00","$165,456.00"
Grant Authority,2014,Army,Afghanistan,MK64 HEAVY GUN MOUNTS,EDA Rejected,4/3/14,432,432,0,432,0,"$778,032.00","$77,803.20"
Grant Authority,2014,Army,Afghanistan,"MAXXPRO MRAP BASE, M1224",EDA Delivered,4/1/15,200,200,200,0,200,"$131,600,000.00","$13,160,000.00"
Grant Authority,2014,Army,Afghanistan,"MRAP RECOVERY VEHICLE, M1249",EDA Delivered,4/1/15,20,20,20,0,20,"$17,613,480.00","$1,761,348.00"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRUCK, TRACTOR",EDA Delivered,7/10/15,1,1,1,0,1,"$86,203.00","$25,860.90"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRUCK, TRACTOR",EDA Delivered,8/7/15,2,2,2,0,2,"$172,406.00","$86,203.00"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRUCK, VAN",EDA Delivered,8/10/15,4,4,4,0,4,"$445,580.00","$133,674.00"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRUCK, CARGO",EDA Accepted/LOA Implemented,2/25/15,10,10,10,0,0,"$720,400.00","$216,120.00"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRAILER, CARGO, 1.0 TON, M1101",EDA Accepted/LOA Implemented,7/2/14,13,13,13,0,0,"$116,402.00","$58,201.00"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRAILER, CARGO, 1 TON",EDA Accepted/LOA Implemented,7/2/14,8,8,8,0,0,"$71,632.00","$21,489.60"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRUCK, TRACTOR",EDA Delivered,8/7/15,10,10,10,0,6,"$1,662,230.00","$498,669.00"
FMS Sales,2014,Defense Logistics Agency (DLA),Argentina,"TRUCK, CARGO",EDA Delivered,7/2/15,12,12,12,0,2,"$805,668.00","$241,700.40"
FMS Sales,2014,Navy,Australia,AVIATION SPARE AND REPAIR PARTS (F/A-18F),EDA Accepted/LOA Implemented,3/20/14,0,0,0,0,0,"$966,184.00","$483,092.00"
FMS Sales,2014,Navy,Australia,AVIATION SPARE AND REPAIR PARTS (F/A-18A/B),EDA Delivered,5/27/16,0,0,0,0,0,"$1,932,368.00","$966,184.00"
FMS Sales,2014,Navy,Australia,MH-60R BROMEO BUNO 166408,Service Authorized to Supply EDA,6/9/14,1,1,0,0,0,"$32,791,060.00","$1,639,553.00"
FMS Sales,2014,Air Force,Bahrain,GENERAL AVIONICS COMPUTER - FIRE CONTROL,EDA Delivered,9/27/15,10,10,10,0,3,"$868,670.00","$173,734.00"
Grant Authority,2014,Navy,Bahrain,MK V  SPECIAL OPERATIONS CRAFT,EDA Accepted/LOA Implemented,3/13/17,2,2,2,0,0,"$10,666,666.00","$1,066,666.00"
Grant Authority,2014,Navy,Bahrain,OUTFIT AND EQUIMENT (MK V SOC),EDA Accepted/LOA Implemented,3/3/17,0,0,0,0,0,"$2,500,000.00","$250,000.00"
Grant Authority,2014,Navy,Bahrain,COUGAR CAT II JOINT ENGINEER RAPID RESPONSE VEHICL,EDA Delivered,8/3/17,3,3,3,0,3,"$1,787,574.00","$178,757.40"
Grant Authority,2014,Navy,Bahrain,COUGAR CAT I JOINT EOD RAPID RESPONSE VEHICLE,EDA Delivered,8/2/17,1,1,1,0,1,"$726,530.08","$72,653.01"
Grant Authority,2014,Navy,Bahrain,COUGAR CAT I HARDENED ENGINEER VEHICLE MRAP,EDA Delivered,8/2/17,2,2,2,0,2,"$655,579.90","$65,557.99"
Grant Authority,2014,Navy,Bahrain,COUGAR CAT II HARDENED ENGINEER VEHICLE MRAP,EDA Delivered,8/2/17,3,3,3,0,3,"$1,279,970.01","$127,997.00"
Grant Authority,2014,Army,Bahrain,AVENGER AIR DEFENSE SYSTEMS,EDA Cancelled,2/14/17,22,22,0,0,0,"$13,069,782.00","$1,306,978.20"
Grant Authority,2014,Navy,Bahrain,COUGAR CAT II JOINT EOD RAPID RESPONSE VEHICLE,EDA Cancelled,8/2/17,5,5,0,5,0,"$3,096,015.00","$309,601.50"
Grant Authority,2014,Navy,Bangladesh,CGC RUSH,EDA Delivered,4/8/15,1,1,1,0,1,"$76,375,459.00","$76,375,459.00"
Grant Authority,2014,Navy,Bangladesh,OUTFIT/EQUIPMENT CGC RUSH,EDA Delivered,4/8/15,0,0,0,0,0,"$3,329,806.00","$332,981.00"
Grant Authority,2014,Army,Brazil,"M577A2 CARRIER, COMMAND POST",EDA Delivered,7/19/16,34,34,34,0,34,"$10,988,052.00","$1,098,805.20"
Grant Authority,2014,Army,Brazil,"M113A2 CARRIER, PERSONNEL, FULL TRACKED",EDA Delivered,7/19/16,12,12,12,0,12,"$4,869,780.00","$486,978.00"
Grant Authority,2014,Army,Brazil,"M88A1 RECOVERY VEHICLE, FULL TRACK",EDA Delivered,6/16/16,4,4,4,0,4,"$4,843,020.00","$484,302.00"
FMS Sales,2014,Navy,Brazil,"SPARE PARTS, SPARE AND REPAIR PARTS, S-70",EDA Accepted/LOA Implemented,5/22/14,,,,,0,"$500,000.00","$250,000.00"
Grant Authority,2014,Navy,Burundi,"MRAP, COUGAR CAT I A1 WITH ISS",EDA Delivered,7/12/16,15,15,15,0,0,"$10,581,315.00","$2,116,263.00"
Grant Authority,2014,Defense Logistics Agency (DLA),Chile,"ENGINE, GAS TURBINE, F110-129 (AIRCRAFT)",EDA Delivered,8/19/16,2,2,2,0,2,"$7,782,808.00","$389,140.40"
Grant Authority,2014,Defense Logistics Agency (DLA),Chile,"CONTROL UNIT, SUIPERVISORY, TURBINE ENGINE (LDEC)",EDA Delivered,5/3/16,6,6,0,0,6,"$335,010.00","$67,002.00"
Grant Authority,2014,Defense Logistics Agency (DLA),Chile,"TRAILER, RAIL TYPE",EDA Delivered,7/8/16,2,2,2,0,2,"$9,071.72",$907.17
Grant Authority,2014,Defense Logistics Agency (DLA),Chile,"CRADLE, GROUND HANDLING EQUIPMENT",EDA Delivered,7/8/16,2,2,2,0,2,"$28,523.78","$2,852.38"
Grant Authority,2014,Army,Croatia,"MAXXPRO PLUS MRAP , M1234",EDA Delivered,4/6/15,2,2,2,0,2,"$1,378,000.00","$137,800.00"
Grant Authority,2014,Army,Djibouti,MAXXPRO RECOVERY VEHICLES (MRV),Service Authorized to Supply EDA,7/28/14,2,2,0,0,0,"$1,761,348.00","$352,270.00"
Grant Authority,2014,Army,Estonia,"C-23B+ SHERPA, CARGO TRANSPORT AIRPLANE",EDA Cancelled,8/28/15,2,2,0,0,0,"$10,680,000.00","$2,136,000.00"
Grant Authority,2014,Air Force,Ethiopia,C-130E AIRCRAFT,EDA Delivered,12/29/14,1,1,1,0,1,"$18,000,000.00","$3,620,504.00"
Grant Authority,2014,Army,Greece,HEMT TRUCK,Service Authorized to Supply EDA,5/16/14,40,40,0,0,0,"$15,365,200.00","$1,536,520.00"
Grant Authority,2014,Army,Greece,HEMT TANKER,Service Authorized to Supply EDA,5/16/14,5,5,0,0,0,"$1,920,650.00","$192,065.00"
Grant Authority,2014,Army,Greece,TRUCK TRACT HETS M1070P1,Service Authorized to Supply EDA,5/16/14,30,30,0,0,0,"$10,128,300.00","$1,012,830.00"
Grant Authority,2014,Army,Greece,"TRUCK, WRECKER",Service Authorized to Supply EDA,5/16/14,2,2,0,0,0,"$196,682.00","$19,668.20"
Grant Authority,2014,Army,Greece,"TRUCK, WRECKER",Service Authorized to Supply EDA,5/16/14,2,2,0,0,0,"$196,682.00","$19,668.20"
Grant Authority,2014,Army,Greece,HEMTT TRUCK,Service Authorized to Supply EDA,5/16/14,3,3,0,0,0,"$950,760.00","$95,076.00"
Grant Authority,2014,Army,Greece,HEMTT TRUCK,Service Authorized to Supply EDA,5/16/14,1,1,0,0,0,"$316,920.00","$31,692.00"
Grant Authority,2014,Navy,Greece,MRAP - COUGAR CAT I A1 W/ISS,EDA Cancelled,8/15/14,15,15,0,0,0,"$10,581,315.00","$2,116,263.00"
Grant Authority,2014,Army,Greece,MRAP MaxPro Ambulance,Service Authorized to Supply EDA,5/16/14,2,2,0,0,0,"$1,378,000.00","$137,800.00"
Grant Authority,2014,Army,Greece,"TWK WKR, M936A1",Service Authorized to Supply EDA,5/16/14,3,3,0,0,0,"$430,299.00","$43,029.90"
Grant Authority,2014,Army,Greece,"TWK WKR, M936W/W",Service Authorized to Supply EDA,5/16/14,1,1,0,0,0,"$143,433.00","$14,343.30"
Grant Authority,2014,Army,Greece,LAUNCHER GRENADE,Service Authorized to Supply EDA,5/16/14,23,23,0,0,0,"$24,380.00","$2,438.00"
Grant Authority,2014,Army,Greece,MACHINE GUN,Service Authorized to Supply EDA,5/16/14,589,589,0,0,0,"$2,255,870.00","$225,587.00"
Grant Authority,2014,Army,Greece,MACHINE GUN GRENADE,Service Authorized to Supply EDA,5/16/14,12,12,0,0,0,"$183,840.00","$18,384.00"
Grant Authority,2014,Army,Greece,MACHINE GUN,Service Authorized to Supply EDA,5/16/14,60,60,0,0,0,"$360,000.00","$36,000.00"
Grant Authority,2014,Army,Greece,"TRUCK, 4x4 M1026P1",Service Authorized to Supply EDA,5/16/14,3,3,0,0,0,"$667,461.00","$66,746.10"
Grant Authority,2014,Army,Greece,HEMTT TRUCK WRECKER,Service Authorized to Supply EDA,5/16/14,20,20,0,0,0,"$9,827,640.00","$982,764.00"
Grant Authority,2014,Army,Greece,"TRUCK, WRECKER",Service Authorized to Supply EDA,5/16/14,2,2,0,0,0,"$196,682.00","$19,668.20"
Grant Authority,2014,Army,Greece,"TRUCK, CARGO w M1078A1P1",Service Authorized to Supply EDA,5/16/14,140,140,0,0,0,"$13,780,340.00","$1,378,034.00"
Grant Authority,2014,Army,Greece,"TRUCK, CARGO M1078P1",Service Authorized to Supply EDA,5/16/14,60,60,0,0,0,"$5,905,860.00","$590,586.00"
Grant Authority,2014,Army,Hungary,"MACHINE GUN, GRENADE, MK19",Service Authorized to Supply EDA,5/16/14,5,5,0,0,0,"$76,600.00","$7,660.00"
Grant Authority,2014,Army,Hungary,"MACHINE GUN, 5.56MM, M249",Service Authorized to Supply EDA,5/16/14,15,15,0,0,0,"$57,450.00","$5,745.00"
Grant Authority,2014,Army,Hungary,"MACHINE GUN, 7.62MM, M240B",Service Authorized to Supply EDA,5/16/14,10,10,0,0,0,"$60,000.00","$6,000.00"
Grant Authority,2014,Army,Hungary,"TRACTOR, WHEELED, INDUSTRIAL",Service Authorized to Supply EDA,5/16/14,1,1,0,0,0,"$287,205.00","$28,720.50"
Grant Authority,2014,Army,Hungary,"MACHINE GUN, (M2 MG 50 HB GD/VEH)",Service Authorized to Supply EDA,5/16/14,194,194,0,0,0,"$2,460,890.00","$246,089.00"
Grant Authority,2014,Army,Iraq,"PISTOL, 9MM",EDA Delivered,5/13/15,20,20,20,0,20,"$12,720.00","$1,272.00"
Grant Authority,2014,Army,Iraq,CAIMAN MINE RESISTANT AMBUSH PROTECTED VEHICLE,EDA Delivered,2/1/14,17,17,17,0,17,"$7,779,183.00","$777,918.30"
Grant Authority,2014,Army,Iraq,"RIFLE, M4",EDA Delivered,5/13/15,3,3,3,0,3,"$3,642.00",$364.20
Grant Authority,2014,Army,Israel,"M978P1 TRUCK, TANK, FUEL, WITH ARMORED CAB (HEMTT)",Service Authorized to Supply EDA,12/19/14,100,100,0,0,0,"$38,413,000.00","$3,841,300.00"
Grant Authority,2014,Army,Israel,"M977 TRUCK, CARGO, WITH WINCH (HEMTT)",Service Authorized to Supply EDA,12/19/14,20,20,0,0,0,"$6,578,400.00","$657,840.00"
Grant Authority,2014,Army,Israel,"M977 TRUCK, CARGO, WITHOUT WINCH (HEMTT)",Service Authorized to Supply EDA,12/19/14,30,30,0,0,0,"$9,507,600.00","$950,760.00"
Grant Authority,2014,Army,Israel,HMMWV EGRESS ASSISTANCE TRAINER (HEAT),EDA Delivered,11/7/14,2,2,2,0,2,"$300,000.00","$30,000.00"
Grant Authority,2014,Army,Israel,"LAUNCHER, MULTIPLE LAUNCH ROCKET SYSTEM, M270",EDA Delivered,5/28/15,18,18,15,0,15,"$35,530,146.00","$1,776,507.30"
Grant Authority,2014,Army,Israel,"CARTRIDGE, 5.56MM BALL CLIPPED",Service Authorized to Supply EDA,2/10/14,184129,184129,0,0,0,"$62,603.86","$18,781.16"
Grant Authority,2014,Army,Israel,"CARTRIDGE, 50 CAL 4 API",EDA Delivered,1/5/15,807016,807016,508174,0,91295,"$1,701,189.73","$510,356.92"
Grant Authority,2014,Army,Israel,"CARTRIDGE, 5.56MM BALL",EDA Delivered,1/13/15,7169600,7169600,7169600,0,7169600,"$2,867,840.00","$860,352.00"
Grant Authority,2014,Army,Israel,PRIMER,EDA Rejected,4/24/14,300000,300000,0,300000,0,"$3,300,000.00","$990,000.00"
Grant Authority,2014,Army,Israel,"TRUCK, CARGO W/W (HEMTT)",EDA Delivered,10/17/17,68,44,44,0,10,"$25,411,056.00","$2,541,105.60"
Grant Authority,2014,Army,Israel,"TRUCK, CARGO, WO/W (HEMTT)",EDA Delivered,10/17/17,132,132,132,0,90,"$47,735,028.00","$4,773,502.80"
Grant Authority,2014,Army,Israel,"TRUCK, TANK FUEL, W/W  (HEMTT)",EDA Delivered,10/17/17,239,107,107,0,104,"$42,385,910.00","$4,238,591.00"
Grant Authority,2014,Army,Israel,"TRUCK, TANK FUEL  (HEMTT)",EDA Accepted/LOA Implemented,5/4/15,141,141,141,0,0,"$54,162,330.00","$5,416,233.00"
Grant Authority,2014,Army,Israel,LEGACY CAIMAN MRAP CHASSIS,EDA Cancelled,12/2/13,645,645,0,0,0,"$148,350,000.00","$14,835,000.00"
Grant Authority,2014,Army,Jordan,MACHINE GUN,EDA Delivered,11/21/14,9184,9184,9184,0,6746,"$50,273,216.00","$5,027,321.60"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,"FOOD COOKING, BAKING, AND SERVING EQUIPMENT",Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Navy,Jordan,AVIATION SPARE AND REPAIR PARTS,Service Authorized to Supply EDA,7/1/14,0,0,0,0,0,"$289,856.00","$144,928.00"
Grant Authority,2014,Navy,Jordan,"MRAP, RG-33L CAT II",EDA Accepted/LOA Implemented,11/25/14,200,200,200,0,0,"$135,768,856.00","$27,153,772.00"
Grant Authority,2014,Navy,Jordan,"MRAP, CAIMAN PLUS CAT I",EDA Delivered,10/1/16,200,200,200,0,45,"$125,960,000.00","$25,192,000.00"
Grant Authority,2014,Army,Jordan,AH-1 COBRA HELICOPTER,EDA Delivered,11/17/16,3,3,3,0,3,"$19,813,191.00","$1,981,319.10"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,"VEHICULAR PARTS, COMPONENTS & EQUIPMENT",Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,"ENGINES, TURBINES, PARTS, COMPONENTS & ACCESSORIES",Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,MECHANICAL POWER TRANSMISSION EQUIPMENT / BEARINGS,Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,"ROPE, CHAIN, CABLE & FITTINGS",Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,VALVES AND TUBES,Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,MAINT/REPAIR/MEASURING TOOLS & SHOP EQUIP,Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,ELECRTICAL / ELECTRONIC EQUIPMENT & COMPONENTS,Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,TRAINING AIDS & DEVICES,Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Defense Logistics Agency (DLA),Jordan,PREFABRICATED STRUCTURES AND PORTABLE BUILDINGS,Service Authorized to Supply EDA,10/19/15,0,0,0,0,0,"$460,087.42","$138,026.22"
Grant Authority,2014,Army,Jordan,RIFLE,EDA Delivered,11/19/14,20000,20000,20000,0,20000,"$14,980,000.00","$1,498,000.00"
Grant Authority,2014,Army,Kazakhstan,"TRUCK, TRACTOR, UTILITY",Service Authorized to Supply EDA,3/19/14,30,30,0,0,0,"$2,357,670.00","$235,767.00"
Grant Authority,2014,Army,Kazakhstan,"TRUCK, TRACTOR, M931",Service Authorized to Supply EDA,3/19/14,20,20,0,0,0,"$1,419,920.00","$141,992.00"
Grant Authority,2014,Army,Kazakhstan,"SEMITRAILER, TANK, M970",Service Authorized to Supply EDA,3/19/14,20,20,0,0,0,"$1,645,220.00","$164,522.00"
Grant Authority,2014,Army,Kazakhstan,"TRUCK, TANK, W/W",Service Authorized to Supply EDA,3/19/14,60,60,0,0,0,"$23,767,800.00","$2,376,780.00"
FMS Sales,2014,Navy,Korea (Seoul),SURFACE SPARES AND REPAIR PARTS,Service Authorized to Supply EDA,7/14/14,0,0,0,0,0,"$1,471,434.00","$735,717.00"
FMS Sales,2014,Army,Korea (Seoul),CH-47D FLIGHT SIMULATOR,Service Authorized to Supply EDA,8/11/14,1,1,0,0,0,"$1,250,000.00","$125,000.00"
Grant Authority,2014,Army,Lebanon,"CTG, 7.62MM BLANK M82 LNKD",EDA Delivered,1/13/15,100737,100737,100737,0,94137,"$38,108.81","$11,432.64"
Grant Authority,2014,Army,Lebanon,"CAP, BLAST NON-ELEC W/200 FT MINI-TUBE M19",EDA Delivered,1/23/15,5000,5000,5000,0,5000,"$128,200.00","$38,460.00"
Grant Authority,2014,Army,Lebanon,"CTG, CAL .50 API M8 LNKD",EDA Delivered,1/23/15,381023,381023,381023,0,381023,"$121,927.36","$36,578.21"
Grant Authority,2014,Army,Lebanon,"CTG, CAL .50 API M8/API-T M20 LNKD",EDA Delivered,1/23/15,807016,807016,298751,0,298751,"$2,848,766.48","$854,629.94"
Grant Authority,2014,Army,Lebanon,"CTG, CAL .50 4 API M8/1 API-T M20 MG",EDA Delivered,1/8/15,10880,10880,10880,0,10880,"$15,776.00","$4,732.80"
Grant Authority,2014,Army,Lebanon,"CTG, CAL .50 4 API M8/1 TR M17 MG",EDA Delivered,1/23/15,7820,7820,7820,0,7820,"$11,104.40","$3,331.32"
Grant Authority,2014,Army,Lebanon,"CTG, 25MM HEI-T M792 LNKD",EDA Delivered,1/23/15,163040,163040,163040,0,163009,"$277,168.00","$83,150.40"
Grant Authority,2014,Army,Lebanon,"CTG, 40MM TP M407A1 SNGL RD",EDA Accepted/LOA Implemented,6/25/14,3385,3385,3385,0,0,"$15,909.50","$4,772.85"
Grant Authority,2014,Army,Lebanon,"CTG, 40MM TP M918 LNKD",EDA Accepted/LOA Implemented,6/25/14,2496,2496,2304,0,0,"$42,082.56","$12,624.77"
Grant Authority,2014,Army,Lebanon,"CTG, 60MM HE M888",EDA Delivered,1/6/15,208,208,208,0,208,"$64,247.04","$19,274.11"
Grant Authority,2014,Army,Lebanon,"PROJ, 155MM SMK HC M116",EDA Delivered,1/23/15,559,559,559,0,143,"$116,831.00","$35,049.30"
Grant Authority,2014,Army,Lebanon,"PROJ, 155MM HERA M549",EDA Delivered,12/22/14,36,36,36,0,36,"$92,856.96","$27,857.09"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND FRAG M67",EDA Delivered,1/6/15,415,415,415,0,415,"$11,607.55","$3,482.27"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND SMK HC AN-M8",Service Authorized to Supply EDA,3/31/14,19503,19503,0,0,0,"$374,262.57","$112,278.77"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND SMK RED M48",EDA Delivered,1/23/15,421,421,412,0,412,"$4,210.00","$1,263.00"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND SMK GRN M18",EDA Delivered,12/18/14,3901,3901,14,0,14,"$230,783.16","$69,234.95"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND SMK YLW M18",EDA Delivered,1/8/15,343,343,343,0,343,"$20,212.99","$6,063.90"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND SMK RED M18",EDA Delivered,1/6/15,1504,1504,1504,0,1499,"$126,441.28","$37,932.38"
Grant Authority,2014,Army,Lebanon,"GRENADE, HAND SMK VIO M18",EDA Delivered,1/6/15,3584,3584,3584,0,3412,"$228,336.64","$68,500.99"
Grant Authority,2014,Army,Lebanon,"Gren, Hand TRAINING, MK1A1",EDA Delivered,1/8/15,754,754,754,0,710,$248.82,$74.65
Grant Authority,2014,Army,Lebanon,"RCKT, 66MM HEAT M72A1",EDA Delivered,1/13/15,227,227,227,0,227,"$24,516.00","$7,354.80"
Grant Authority,2014,Army,Lebanon,"SIGNAL, SMK YLW M64",EDA Delivered,1/22/15,4201,4201,4201,0,4201,"$10,922.60","$3,276.78"
Grant Authority,2014,Army,Lebanon,"SIGNAL, SMK RED PARA M129A1",EDA Delivered,1/13/15,2232,2232,2232,0,2244,"$89,726.40","$26,917.92"
Grant Authority,2014,Army,Lebanon,"SIGNAL, SMK GRN PARA M128A1",EDA Delivered,12/22/14,936,936,936,0,923,"$37,627.20","$11,288.16"
